#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:46 out:47 type:b dur:2 cpbdur:2 q:0.28 aq:0.62 tex:25678 mv:705 misc:3625 imb:4 pmb:823 smb:7333 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:0.00 aq:0.12 tex:35491 mv:297 misc:3772 imb:1 pmb:867 smb:7292 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:0.02 aq:0.05 tex:34757 mv:327 misc:3948 imb:0 pmb:1014 smb:7146 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:0.04 aq:0.16 tex:25995 mv:790 misc:3679 imb:4 pmb:848 smb:7308 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:0.01 aq:0.58 tex:25637 mv:759 misc:3676 imb:4 pmb:844 smb:7312 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:0.00 aq:0.08 tex:2725003 mv:35388 misc:961 imb:4846 pmb:434 smb:2880 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:2.04 aq:0.00 tex:210718 mv:2983 misc:6059 imb:167 pmb:2939 smb:5054 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:1.02 aq:0.52 tex:47068 mv:4418 misc:6178 imb:0 pmb:2526 smb:5634 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:0.51 aq:0.85 tex:31998 mv:2903 misc:5643 imb:3 pmb:1939 smb:6218 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:1.53 aq:1.30 tex:25806 mv:2354 misc:5288 imb:0 pmb:1592 smb:6568 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:1.09 aq:0.00 tex:322106 mv:1599 misc:5199 imb:24 pmb:3921 smb:4215 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:1.57 aq:0.29 tex:58373 mv:2749 misc:5926 imb:0 pmb:2232 smb:5928 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:1.80 aq:1.03 tex:74404 mv:4894 misc:6030 imb:1 pmb:3048 smb:5111 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:1.33 aq:0.20 tex:31070 mv:1954 misc:4824 imb:0 pmb:1295 smb:6865 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:0.25 aq:0.00 tex:48052 mv:346 misc:5114 imb:0 pmb:1418 smb:6742 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:0.67 aq:0.17 tex:34498 mv:1193 misc:4829 imb:0 pmb:1277 smb:6883 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:0.88 aq:0.11 tex:28274 mv:1315 misc:4571 imb:0 pmb:1158 smb:7002 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:0.46 aq:0.19 tex:24908 mv:668 misc:3992 imb:0 pmb:932 smb:7228 d:- ref:0 ;
